alpha,family,K,order,steps,m,samples,rotations,twoq,trace_distance,infidelity,seconds
1.5,trotter,400,2,1,0,0,800,2812,0.020764763317496406,0.0004311753956316444,0.020092248916625977
1.5,trotter,400,2,2,0,0,1600,5624,0.0047320901214009175,2.239267691706015e-05,0.036451101303100586
1.5,trotter,400,2,3,0,0,2400,8436,0.0020693530690658038,4.282222124452062e-06,0.05401420593261719
1.5,trotter,400,2,4,0,0,3200,11248,0.0011575044687710601,1.339816595224974e-06,0.0714409351348877
1.5,trotter,400,2,6,0,0,4800,16872,0.000512399486878945,2.6255323415380616e-07,0.10769820213317871
1.5,trotter,400,2,8,0,0,6400,22496,0.00028782052818675745,8.284065644570404e-08,0.1417078971862793
1.5,trotter,400,2,12,0,0,9600,33744,0.00012777903032099142,1.6327480589772847e-08,0.21258878707885742
1.5,trotter,400,2,16,0,0,12800,44992,7.182092582515897e-05,5.158245386382987e-09,0.28258800506591797
1.5,trotter,400,2,24,0,0,19200,67488,3.179653966138761e-05,1.0110199344381954e-09,0.42804884910583496
1.5,trotter,400,2,32,0,0,25600,89984,1.764717159868033e-05,3.114226654332697e-10,0.5740280151367188
1.5,trotter,400,2,48,0,0,38400,134976,6.842619061259857e-06,4.682143561751673e-11,0.8604979515075684
1.5,trotter,400,2,64,0,0,51200,179968,0.0,-2.62412314100402e-12,1.1402559280395508
1.5,trotter,400,2,96,0,0,76800,269952,0.0,-2.9460878181453154e-11,1.706596851348877
1.5,trotter,400,2,128,0,0,102400,359936,0.0,-4.3937298244145495e-11,2.2840709686279297
1.5,trotter,400,4,1,0,0,4000,14060,0.0005866628104111667,3.441732531195285e-07,0.08974981307983398
1.5,trotter,400,4,2,0,0,8000,28120,3.221436336638388e-05,1.0377652071014154e-09,0.17887091636657715
1.5,trotter,400,4,3,0,0,12000,42180,5.794693549721412e-06,3.3578473335182935e-11,0.2688729763031006
1.5,trotter,400,4,4,0,0,16000,56240,0.0,-3.218758592993254e-12,0.35828518867492676
1.5,trotter,400,4,6,0,0,24000,84360,0.0,-1.0380585280245214e-11,0.5306417942047119
1.5,trotter,400,4,8,0,0,32000,112480,0.0,-1.4103385126418289e-11,0.7189428806304932
1.5,trotter,400,4,12,0,0,48000,168720,0.0,-2.119548980772379e-11,1.0802948474884033
1.5,trotter,400,4,16,0,0,64000,224960,0.0,-2.8099300664052862e-11,1.4335942268371582
1.5,qdrift,0,1,1,100,100,100,390.4174672700014,0.030093673208928886,0.02981175529467417,38.8947811126709
1.5,qdrift,0,1,1,316,316,316,1233.7191965732045,0.009641405310051346,0.009548238389867958,8.949506044387817
1.5,qdrift,0,1,1,1000,1000,1000,3904.174672700014,0.0030586798192951763,0.003028820210739136,10.628651142120361
1.5,qdrift,0,1,1,3162,3162,3162,12345.000315077445,0.0009685285383191651,0.0009590426589721757,12.041540145874023
1.5,qdrift,0,1,1,10000,10000,10000,39041.74672700014,0.0003063693272046366,0.0003033656052884304,12.898531913757324
1.5,qdrift,0,1,1,31623,31623,31623,123461.71567479255,9.689387034118588e-05,9.594358875797404e-05,16.79619526863098
1.5,qdrift,0,1,1,100000,100000,100000,390417.4672700014,3.064195087473795e-05,3.0341394172683778e-05,15.33781886100769
1.5,qdrift,0,1,1,316228,316228,316228,1234609.34839858,9.689906891121315e-06,9.59482253093391e-06,18.02789807319641
1.5,qdrift,0,1,1,1000000,1000000,1000000,3904174.672700014,3.064110976377747e-06,3.033919180106537e-06,17.824797868728638
1.5,composite,1,2,1,1,1,5,19.840816479265357,0.7480689191100491,0.7364443695099495,32.533931016922
1.5,composite,1,2,1,4,4,8,31.363265917061426,0.2629242564159104,0.26048399628505126,0.11317300796508789
1.5,composite,1,2,2,1,2,10,39.68163295853071,0.4617008883872709,0.45814460106991794,0.21884703636169434
1.5,composite,1,2,2,4,8,16,62.72653183412285,0.1409527450852358,0.1398442170859504,0.2252638339996338
1.5,composite,1,2,4,1,4,20,79.36326591706143,0.2621864972363886,0.26028867289428326,0.41884493827819824
1.5,composite,1,2,4,4,16,32,125.4530636682457,0.07324973379715767,0.07265481993689127,0.44541430473327637
1.5,composite,1,2,8,1,8,40,158.72653183412285,0.14093189690871988,0.13983732357149115,0.8713998794555664
1.5,composite,1,2,8,4,32,64,250.9061273364914,0.0373752658600488,0.037057060102201556,0.909088134765625
1.5,composite,1,2,16,1,16,80,317.4530636682457,0.07326393169489094,0.0726549594028969,1.6583659648895264
1.5,composite,1,2,16,4,64,128,501.8122546729828,0.018882996311760217,0.01871714265540647,1.7939369678497314
1.5,composite,1,4,1,1,5,105,419.2040823963268,0.7290828783214972,0.7270330280424431,0.5111398696899414
1.5,composite,1,4,1,4,20,120,476.81632958530713,0.2861333579910261,0.2841630037661862,0.5632171630859375
1.5,composite,1,4,2,1,10,210,838.4081647926536,0.486820038517481,0.48446007475165054,1.037121057510376
1.5,composite,1,4,2,4,40,240,953.6326591706143,0.15606263096115874,0.1548480236334736,1.1025879383087158
1.5,composite,1,4,4,1,20,420,1676.8163295853071,0.2861826316287971,0.28430236433154155,2.033323049545288
1.5,composite,1,4,4,4,80,480,1907.2653183412285,0.08163255802881127,0.08094752424130325,2.204723358154297
1.5,composite,2,2,1,1,1,9,35.79225264273589,0.5968003206968336,0.5931103577322498,32.74557065963745
1.5,composite,2,2,1,2,2,10,39.58450528547178,0.33420268106822226,0.3324401356808818,0.10482907295227051
