alpha,family,K,order,steps,m,samples,rotations,twoq,trace_distance,infidelity,seconds
3.0,composite,4,4,1,16,80,480,1909.0031073346915,0.000593055599357333,9.513959714102516e-05,0.7222552299499512
3.0,composite,4,4,2,1,10,810,3238.6253884168364,0.000760929780119054,0.0007578500925515819,1.0367600917816162
3.0,composite,4,4,2,4,40,840,3354.501553667346,0.00019282675883859222,0.00018951956381196844,1.105273962020874
3.0,composite,4,4,2,16,160,960,3818.006214669383,5.674157133065119e-05,4.738396860948235e-05,1.4316308498382568
3.0,composite,4,4,4,1,20,1620,6477.250776833673,0.0003802102104745822,0.00037902715500881534,2.0419909954071045
3.0,composite,4,4,4,4,80,1680,6709.003107334692,9.50854807702611e-05,9.477128344514973e-05,2.2116663455963135
3.0,composite,4,4,4,16,320,1920,7636.012429338766,2.3841139766317502e-05,2.369374404309621e-05,2.8465898036956787
3.0,composite,8,2,1,2,2,34,135.0272292920599,0.0026996771498598083,6.619858580581006e-05,32.48021197319031
3.0,composite,8,2,1,8,8,40,156.1089171682396,0.002678472825926727,2.1902419613750723e-05,0.12166500091552734
3.0,composite,8,2,1,32,32,64,240.4356686729584,0.0026732069327256346,1.0828128164774853e-05,0.1884448528289795
3.0,composite,8,2,2,2,4,68,270.0544585841198,0.0006040347823069913,2.9864957252545565e-05,0.22089195251464844
3.0,composite,8,2,2,8,16,80,312.2178343364792,0.0005931401037951726,7.72700199447307e-06,0.24568605422973633
3.0,composite,8,2,2,32,64,128,480.8713373459168,0.0005904518107823417,2.19244053489831e-06,0.37418222427368164
3.0,composite,8,2,4,2,8,136,540.1089171682396,0.00015108360087031644,1.4777182267611266e-05,0.4290459156036377
3.0,composite,8,2,4,8,32,160,624.4356686729584,0.00014553555382254592,3.7098115739375714e-06,0.48482680320739746
3.0,composite,8,2,4,32,128,256,961.7426746918336,0.00014418436489220716,9.429495149149147e-07,0.7449531555175781
3.0,composite,8,2,8,2,16,272,1080.2178343364792,3.949476966180496e-05,7.379317946587527e-06,0.8459229469299316
3.0,composite,8,2,8,8,64,320,1248.8713373459168,3.662444764925307e-05,1.845791679166986e-06,0.9866471290588379
