alpha,family,K,order,steps,m,samples,rotations,twoq,trace_distance,infidelity,seconds
2.0,trotter,400,2,1,0,0,800,2812,0.026910108974809294,0.0007241539650361117,0.019097089767456055
2.0,trotter,400,2,2,0,0,1600,5624,0.00550948272652111,3.0354399913834484e-05,0.03640484809875488
2.0,trotter,400,2,3,0,0,2400,8436,0.002369919742634028,5.616519586526536e-06,0.05403399467468262
2.0,trotter,400,2,4,0,0,3200,11248,0.0013182698599590059,1.7378354236763371e-06,0.07187104225158691
2.0,trotter,400,2,6,0,0,4800,16872,0.000581287182642535,3.3789478870449585e-07,0.10813593864440918
2.0,trotter,400,2,8,0,0,6400,22496,0.00032607332828466786,1.0632381541864078e-07,0.14373016357421875
2.0,trotter,400,2,12,0,0,9600,33744,0.00014462536576884745,2.0916496423772912e-08,0.21671605110168457
2.0,trotter,400,2,16,0,0,12800,44992,8.126929111084354e-05,6.604697677659033e-09,0.2844259738922119
2.0,trotter,400,2,24,0,0,19200,67488,3.599945377515729e-05,1.2959606721096861e-09,0.4311649799346924
2.0,trotter,400,2,32,0,0,25600,89984,2.0032891893167943e-05,4.0131675760335384e-10,0.5752518177032471
2.0,trotter,400,2,48,0,0,38400,134976,8.037418929274132e-06,6.460010304465413e-11,0.8578081130981445
2.0,trotter,400,2,64,0,0,51200,179968,1.8113340615061216e-06,3.2809310823722626e-12,1.1394238471984863
2.0,trotter,400,2,96,0,0,76800,269952,0.0,-2.830802259268239e-11,1.7090299129486084
2.0,trotter,400,2,128,0,0,102400,359936,0.0,-4.347544546590143e-11,2.2701401710510254
2.0,trotter,400,4,1,0,0,4000,14060,0.0014748083433489697,2.1750596496117325e-06,0.08930420875549316
2.0,trotter,400,4,2,0,0,8000,28120,7.13101884261369e-05,5.085142973371148e-09,0.17833590507507324
2.0,trotter,400,4,3,0,0,12000,42180,1.3308238658130076e-05,1.771092161817478e-10,0.26821208000183105
2.0,trotter,400,4,4,0,0,16000,56240,3.2667206358513435e-06,1.0671463712697005e-11,0.3557240962982178
2.0,trotter,400,4,6,0,0,24000,84360,0.0,-9.910294807013997e-12,0.5304892063140869
2.0,trotter,400,4,8,0,0,32000,112480,0.0,-1.3859580150210604e-11,0.7083427906036377
2.0,trotter,400,4,12,0,0,48000,168720,0.0,-2.0962787061762356e-11,1.0597279071807861
2.0,trotter,400,4,16,0,0,64000,224960,0.0,-2.8242741478834432e-11,1.4174163341522217
2.0,qdrift,0,1,1,100,100,100,397.0989363245865,0.02234449711935303,0.02165331654071001,38.56751108169556
2.0,qdrift,0,1,1,316,316,316,1254.8326387856932,0.007149097726074947,0.006922114670201873,8.623087167739868
2.0,qdrift,0,1,1,1000,1000,1000,3970.9893632458648,0.0022670404939148774,0.002194442565568444,10.02580189704895
2.0,qdrift,0,1,1,3162,3162,3162,12556.268366583425,0.0007177595635123441,0.0006947115429190021,11.402261018753052
2.0,qdrift,0,1,1,10000,10000,10000,39709.89363245865,0.00022703524337920605,0.00021973855783330443,12.29009485244751
2.0,qdrift,0,1,1,31623,31623,31623,125574.59663392398,7.180230838353881e-05,6.949401787159637e-05,16.557310819625854
