theta,p,pair,phi,se_phi,q,se_q,x,y,se_x,se_y,rate,se_rate,n,exact_phi,exact_q,exact_rate,exact_x,exact_y,sum_of_angles,ideal_phi,composed_q
0.0,0.0,tt,-0.013999085440883076,0.008162837839660514,-4.8997599235267586e-05,5.7145464310022866e-05,1.0,-0.014,0.0,0.008164437755877088,1.0,0.0,30000,0.0,0.0,0.9999999999999993,1.0,0.0,0.0,0.0,0.0
0.0,0.0,tn,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,nt,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,nn,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.07853981633974483,0.0,tt,-0.009885816893893363,0.008256205450545444,-2.4433338853491193e-05,4.0812991445491936e-05,1.0,-0.009886138951387468,0.0,0.008257012376922538,0.9780333333333333,0.0008462492190488221,29341,-7.08989554423761e-18,0.0,0.9787018526030173,1.0,-7.08989554423761e-18,0.0,0.0,6.661338147750939e-16
0.07853981633974483,0.0,tn,-0.12659212727997207,0.07670504944209021,0.0020030080612294943,0.007675383426476666,0.9880239520958084,-0.12574850299401197,0.011976047904191617,0.07699895610287401,0.011133333333333334,0.0006057882529460335,334,-0.23646857190795162,3.3306690738754696e-16,0.010591760336547277,0.9721713460757396,-0.23427094115421812,-0.2364685719079544,-0.23646857190795348,-7.771561172376096e-16
0.07853981633974483,0.0,nt,0.3332744025535227,0.06799591127513994,-0.01571855299519853,0.014745725245783357,0.9746835443037974,0.3374233128834356,0.017844335478913058,0.07395967820051176,0.0107,0.0005940120649728702,321,0.23646857190795445,-1.1102230246251565e-15,0.010591760336547238,0.9721713460757417,0.2342709411542216,0.2364685719079544,0.23646857190795348,-7.771561172376096e-16
0.07853981633974483,0.0,nn,-0.3217505543966422,nan,-0.02704627669472992,nan,1.0,-0.3333333333333333,nan,0.6666666666666667,0.00013333333333333334,6.66622220740642e-05,4,2.1725098480211727e-15,-2.886579864025407e-15,0.00011462672388785225,1.0000000000000058,2.1725098480211853e-15,0.0,0.0,-2.220446049250313e-15
0.15707963267948966,0.0,tt,0.0016039647953855075,0.008538870321849499,-6.431764556502628e-07,6.8480383759370195e-06,1.0,0.0016039661708953047,0.0,0.008538892289865024,0.9166333333333333,0.001596001937713481,27499,1.511428279000522e-17,-1.1102230246251565e-16,0.9181902972591967,1.0000000000000002,1.5114282790005224e-17,0.0,0.0,-2.220446049250313e-16
0.15707963267948966,0.0,tn,-0.46448171380563674,0.033046727030961544,0.0019610637465965475,0.011504935912770662,0.8905472636815921,-0.4462025316455696,0.018539961829336944,0.03562668075392557,0.041166666666666664,0.0011470537944697308,1235,-0.47806172831317245,1.6653345369377348e-16,0.04003217026032264,0.8878883095465462,-0.46005907204464064,-0.4780617283131708,-0.4780617283131708,1.1102230246251565e-16
