theta,p,cls,phi,se_phi,infidelity,se_infidelity,q,se_q,rate,x_plus,y_plus,se_x_plus,se_y_plus,exact_phi,exact_q,exact_infidelity,exact_prob,exact_rate,exact_x_plus,exact_y_plus,phi_paper,q_paper
0.15707963267948966,0.02,t,-0.03320540141377671,0.013712117432673237,-0.0025230710940014798,0.0026667101502291044,-0.0037846066410022194,0.004000065225343657,0.8323833333333334,0.9980704293294742,-0.01220971989466124,0.0009644361338271074,0.015473458015421222,-0.006438138405276593,0.0001607113712033259,0.0001071409141355506,0.8326946365024154,0.8326946365024154,0.99965785917752,-0.006436024579157276,-0.006438138405276578,0.00016071137120338141
0.15707963267948966,0.02,n,0.06467559905400921,0.035077637696718914,0.03225539668635095,0.006871927067104235,0.04838309502952648,0.010307890600656356,0.16761666666666666,0.8688524590163934,0.0911300121506683,0.01695091197307198,0.034733873901581606,0.0980561925254553,0.0785491258837897,0.05236608392252654,0.023900766213940636,0.16730536349758446,0.8388527367947948,0.08251935012561401,0.09805619252545532,0.07854912588378976
0.3141592653589793,0.02,t,-0.03640067929616213,0.01453638054054629,-0.0004507622345463573,0.0026185593225344665,-0.0006761433518195359,0.003927838983801701,0.7390666666666666,0.9972987574284171,-0.02751293925360937,0.001207379412219467,0.01650070626986185,-0.05250472475889351,0.0010583179195284287,0.0007055452796855821,0.7397973565024155,0.7397973565024155,0.9965082245665376,-0.052369522056331205,-0.05250472475889355,0.0010583179195284287
0.3141592653589793,0.02,n,0.4201238609281707,0.03401427118714571,0.09402781430643592,0.007089562478027941,0.14104172145965393,0.010634343717041913,0.2609333333333333,0.6610169491525424,0.29571106094808125,0.020835601185014818,0.02621383004957865,0.48685169339043777,0.13671312641343697,0.09114208427562476,0.03717180621394064,0.2602026434975845,0.6421532582817541,0.3399244077134275,0.48685169339043866,0.13671312641343764
0.47123889803846897,0.02,t,-0.17635489892795944,0.014593569318439817,-0.0010609963550710273,0.0032025382443574405,-0.001591494532606541,0.004803807366536159,0.6250333333333334,0.9807568954457986,-0.18483110261312938,0.003496912430491383,0.01754667225449053,-0.1811515406175559,0.004479671316021117,0.002986447544014078,0.6249700034975838,0.6249700034975838,0.9748241408576369,-0.1785482538628809,-0.18115154061755595,0.004479671316021117
0.47123889803846897,0.02,n,0.9916460675472587,0.03160756998885716,0.1265660991033275,0.006021062434217608,0.18984914865499125,0.009031593651326407,0.37496666666666667,0.30924548352816156,0.5467239527389903,0.02192693913229921,0.01940951144686111,1.0481001654582451,0.18978284821181318,0.12652189880787534,0.05357571378605942,0.375029996502416,0.30973204012989414,0.5375916557865025,1.0481001654582465,0.18978284821181318
0.6283185307179586,0.02,t,-0.4124357263121157,0.013914625835268679,0.006672838863962527,0.003928123561114515,0.01000925829594379,0.0058921853416717684,0.5322833333333333,0.886609474076837,-0.4078751857355126,0.008934330076138945,0.01760077775279379,-0.4297530039371067,0.011278232207779959,0.007518821471853269,0.5320727234975838,0.5320727234975838,0.8885633118956067,-0.40724821179339926,-0.4297530039371068,0.011278232207780015
0.6283185307179586,0.02,n,1.7039430461872316,0.03376857221043781,0.14785405981487068,0.00483712827704188,0.2217810897223061,0.0072556924155628205,0.4677166666666666,-0.06252695127210005,0.5762564991334489,0.020729682822985852,0.01701536121307146,1.6865727320485846,0.22124628756467873,0.1474975250431192,0.06684675378605938,0.46792727650241567,-0.0644021040490655,0.5537751328652709,1.6865727320485846,0.22124628756467873
0.7853981633974483,0.02,t,-0.7934017556971663,0.015231703190122535,0.00451790783132829,0.004874947717242131,0.006776861746992435,0.007312421575863197,0.50055,0.6921843687374749,-0.6975259377494014,0.014451766965822692,0.01431688095592455,-0.7853981633974482,0.015693240758557214,0.010462160505704773,0.4965891199999998,0.4965891199999998,0.6849131872682098,-0.6849131872682096,-0.7853981633974482,0.015693240758557103
0.7853981633974483,0.02,n,2.381862551677832,0.02833582506541884,0.14357483366791657,0.005659295425649383,0.2153622505018749,0.008488943138474078,0.49944999999999995,-0.4027944111776447,0.3528468323977546,0.01829118249753604,0.01873987613159557,2.356194490192345,0.23138786417901835,0.15425857611934557,0.07191584,0.50341088,-0.3798749254960361,0.37987492549603613,2.356194490192345,0.2313878641790183
