theta,p,cls,prob,phi,q,leak,covariance,unitarity,nontrivial_spread,prob_paper,phi_paper,q_paper,phi_ideal,prob_ideal
0.0,0.0,t,1.0000000000000002,0.0,-1.1102230246251565e-16,0.0,1.5700924586837754e-16,2.220446049250313e-16,0.0,1.0,-0.0,0.0,-0.0,1.0
0.0,0.0,n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.02454369260617026,0.0,t,0.9989466589595428,-2.5877546432336756e-05,-2.220446049250313e-16,3.3306690738754696e-16,4.005558274730758e-16,3.3306690738754696e-16,2.42861286636753e-17,0.9989466589595432,-2.5877546432339152e-05,0.0,-2.5877546432335682e-05,0.998946658959543
0.02454369260617026,0.0,n,0.00015047729149385636,0.07363107781850257,3.7470027081099033e-14,5.421010862427522e-20,9.461835606118304e-18,1.1275702593849246e-17,2.42861286636753e-17,0.00015047729149383508,0.0736310778185076,-6.894484982922222e-14,0.07363107781851078,0.00015047729149384598
0.04908738521234052,0.0,t,0.9957967800882076,-0.00020711345544000863,-3.3306690738754696e-16,3.3306690738754696e-16,7.216783253021517e-16,5.551115123125783e-16,4.1676821766409265e-17,0.9957967800882066,-0.00020711345543999993,0.0,-0.00020711345544000687,0.9957967800882066
0.04908738521234052,0.0,n,0.0006004599873990316,0.1472621556370186,-8.43769498715119e-15,1.0842021724855044e-19,2.155435795354851e-17,1.0191500421363742e-17,4.1676821766409265e-17,0.000600459987399057,0.14726215563702152,1.0269562977782698e-14,0.14726215563702155,0.000600459987399049
0.07363107781851078,0.0,t,0.9905806984414214,-0.0006995275858833274,-5.551115123125783e-16,1.1102230246251565e-16,1.0082934738333463e-15,9.992007221626409e-16,3.734206975601298e-17,0.9905806984414206,-0.0006995275858833474,-1.1102230246251565e-16,-0.0006995275858833474,0.9905806984414207
0.07363107781851078,0.0,n,0.0013456145083684688,0.22089323345553258,-4.440892098500626e-16,2.168404344971009e-19,1.3485051063530848e-17,1.0842021724855044e-18,3.734206975601298e-17,0.001345614508368485,0.2208932334555327,5.551115123125783e-15,0.22089323345553233,0.0013456145083684742
0.09817477042468103,0.0,t,0.9833486477368448,-0.0016598442511540528,-3.3306690738754696e-16,4.440892098500626e-16,5.276505433990003e-16,5.551115123125783e-16,4.691978069236876e-17,0.983348647736844,-0.001659844251154037,5.551115123125783e-17,-0.001659844251154037,0.9833486477368439
0.09817477042468103,0.0,n,0.002378764609022294,0.29452431127404444,1.8318679906315083e-15,4.336808689942018e-19,3.2959746043559335e-17,8.673617379884035e-18,4.691978069236876e-17,0.0023787646090222786,0.29452431127404355,-2.3314683517128287e-15,0.2945243112740431,0.0023787646090222894
0.1227184630308513,0.0,t,0.9741702765762026,-0.003246097073846091,-4.440892098500626e-16,3.3306690738754696e-16,1.2195417989469624e-15,8.881784197001252e-16,2.2751718447803074e-17,0.9741702765762026,-0.0032460970738460923,0.0,-0.003246097073846106,0.9741702765762027
0.1227184630308513,0.0,n,0.003689960489113901,0.3681553890925532,-3.3306690738754696e-16,8.673617379884035e-19,1.1925729197136854e-17,2.6020852139652106e-18,2.2751718447803074e-17,0.003689960489113916,0.36815538909255413,1.7763568394002505e-15,0.36815538909255385,0.0036899604891139047
0.14726215563702155,0.0,t,0.9631339776911816,-0.005617974107080494,-4.440892098500626e-16,3.3306690738754696e-16,5.986359803499961e-16,8.881784197001252e-16,3.400456267939448e-17,0.9631339776911818,-0.005617974107080483,-1.1102230246251565e-16,-0.005617974107080484,0.9631339776911818
0.14726215563702155,0.0,n,0.005266574615545442,0.44178646691106443,-3.1086244689504383e-15,1.734723475976807e-18,3.122502256758253e-17,3.2959746043559335e-17,3.400456267939448e-17,0.005266574615545456,0.4417864669110639,-8.881784197001252e-16,0.44178646691106466,0.005266574615545461
0.1718058482431918,0.0,t,0.9503460366730991,-0.008937078478779009,0.0,2.220446049250313e-16,2.7885511259616377e-16,0.0,4.882715046532749e-17,0.9503460366730987,-0.00893707847877903,5.551115123125783e-17,-0.00893707847877903,0.9503460366730987
