theta,p,cls,p_plus,se,n,rate,se_rate,exact,exact_rate
0.0,0.0,t,1.0,0.0,10000,1.0,0.0,1.0,0.9999999999999993
0.0,0.0,n,nan,nan,0,0.0,0.0,nan,6.661338147750939e-16
0.06544984694978735,0.0,t,1.0,0.0,9918,0.9918,0.0009018181634897351,0.999999939689702,0.9925462745007332
0.06544984694978735,0.0,n,0.975609756097561,0.017139716315275763,82,0.0082,0.0009018181634897359,0.9903926402016159,0.007453725499266817
0.1308996938995747,0.0,t,1.0,0.0,9693,0.9693,0.0017250365213525177,0.9999961161649598,0.9706930570778454
0.1308996938995747,0.0,n,0.9543973941368078,0.011926108038528825,307,0.0307,0.0017250365213525192,0.9619397662556441,0.029306942922154633
0.19634954084936207,0.0,t,1.0,0.0,9391,0.9391,0.002391467959225044,0.9999553309872875,0.935929608384557
0.19634954084936207,0.0,n,0.9277504105090312,0.010499810956111123,609,0.0609,0.002391467959225045,0.9157348061512722,0.06407039161544303
0.2617993877991494,0.0,t,0.9998878295008413,0.00011217049915872128,8915,0.8915,0.0031101085190070143,0.9997459770146797,0.8906249999999998
0.2617993877991494,0.0,n,0.8460829493087558,0.010960621910035665,1085,0.1085,0.0031101085190070135,0.853553390593274,0.10937500000000022
0.32724923474893675,0.0,t,0.999290696299799,0.0002894864192104511,8459,0.8459,0.003610445817347215,0.9990185934851605,0.8378666661161762
0.32724923474893675,0.0,n,0.7793640493186242,0.010566908895357857,1541,0.1541,0.0036104458173472145,0.7777851165098013,0.16213333388382378
0.39269908169872414,0.0,t,0.996823783509084,0.0006342739538267602,7871,0.7871,0.00409357533215159,0.9970378561365301,0.7812499999999999
0.39269908169872414,0.0,n,0.7022076092062001,0.009912969090700932,2129,0.2129,0.00409357533215159,0.691341716182545,0.2187500000000001
0.4581489286485115,0.0,t,0.9933756555340878,0.0009530353619603432,7246,0.7246,0.004467156142334852,0.9924922865305428,0.7246333338838234
0.4581489286485115,0.0,n,0.5904139433551199,0.009372334469776405,2754,0.2754,0.004467156142334852,0.5975451610080642,0.27536666611617655
0.5235987755982988,0.0,t,0.983154442456768,0.0015714096455365248,6708,0.6708,0.004699227170503678,0.983363016065733,0.6718749999999999
0.5235987755982988,0.0,n,0.5127582017010935,0.008712938235988418,3292,0.3292,0.004699227170503678,0.5,0.3281250000000001
0.5890486225480862,0.0,t,0.9674329501915708,0.0022428924080339545,6264,0.6264,0.004837592789807757,0.9670162657848393,0.6265703916154425
0.5890486225480862,0.0,n,0.40417558886509636,0.008029691924629335,3736,0.3736,0.004837592789807757,0.4024548389919359,0.3734296083845575
0.6544984694978735,0.0,t,0.9451710261569417,0.0029480025461836265,5964,0.5964,0.004906190375433876,0.9407346726969661,0.5918069429221539
0.6544984694978735,0.0,n,0.31838453914767095,0.007333713368198183,4036,0.4036,0.004906190375433877,0.3086582838174553,0.40819305707784614
0.7199483164476609,0.0,t,0.9008264462809917,0.00396383049038188,5687,0.5687,0.004952578217454017,0.9027685364906057,0.5699537254992663
0.7199483164476609,0.0,n,0.21354045907720842,0.006240780424709685,4313,0.4313,0.004952578217454017,0.2222148834901989,0.43004627450073374
