n,state,k_star,learned,copies,negatives
6,31,8,1,33,1
6,32,6,1,25,0
6,33,7,1,29,2
6,34,6,1,25,0
6,35,8,1,33,3
6,36,8,1,33,0
6,37,6,1,25,0
6,38,8,1,33,0
6,39,10,1,41,1
6,40,7,1,29,1
6,41,9,1,37,1
6,42,7,1,29,0
6,43,6,1,25,1
6,44,7,1,29,0
6,45,12,1,49,2
6,46,7,1,29,0
6,47,8,1,33,0
6,48,7,1,29,2
6,49,6,1,25,2
6,50,7,1,29,0
6,51,10,1,41,3
6,52,9,1,37,1
6,53,8,1,33,1
6,54,8,1,33,2
6,55,10,1,41,2
6,56,9,1,37,4
6,57,8,1,33,0
6,58,10,1,41,1
6,59,11,1,45,1
6,60,8,1,33,2
6,61,7,1,29,0
6,62,6,1,25,1
6,63,7,1,29,0
6,64,6,1,25,3
6,65,7,1,29,0
6,66,6,1,25,1
6,67,7,1,29,3
6,68,10,1,41,0
6,69,7,1,29,0
6,70,8,1,33,2
6,71,10,1,41,1
6,72,12,1,49,0
6,73,11,1,45,1
6,74,10,1,41,1
6,75,10,1,41,1
6,76,9,1,37,0
6,77,8,1,33,2
6,78,7,1,29,0
6,79,8,1,33,0
6,80,8,1,33,0
6,81,8,1,33,0
6,82,6,1,25,0
6,83,6,1,25,0
6,84,6,1,25,0
6,85,0,0,-1,-1
6,86,8,1,33,0
6,87,8,1,33,0
6,88,6,1,25,0
6,89,6,1,25,1
6,90,11,1,45,0
6,91,9,1,37,0
6,92,8,1,33,1
6,93,6,1,25,1
6,94,7,1,29,0
6,95,8,1,33,0
6,96,9,1,37,1
6,97,6,1,25,1
6,98,7,1,29,1
6,99,10,1,41,0
6,100,10,1,41,0
6,101,6,1,25,0
6,102,6,1,25,2
6,103,7,1,29,1
6,104,8,1,33,0
6,105,6,1,25,0
6,106,8,1,33,0
6,107,6,1,25,0
6,108,10,1,41,1
6,109,7,1,29,0
6,110,8,1,33,1
6,111,6,1,25,3
6,112,6,1,25,1
6,113,11,1,45,0
6,114,6,1,25,0
6,115,6,1,25,3
6,116,7,1,29,0
6,117,7,1,29,1
6,118,10,1,41,0
6,119,7,1,29,1
6,120,8,1,33,0
6,121,8,1,33,1
6,122,8,1,33,3
6,123,7,1,29,3
6,124,8,1,33,4
6,125,7,1,29,2
6,126,11,1,45,0
6,127,6,1,25,1
6,128,7,1,29,0
6,129,11,1,45,0
6,130,9,1,37,2
6,131,6,1,25,2
6,132,6,1,25,0
6,133,7,1,29,1
6,134,0,0,-1,-1
6,135,6,1,25,0
6,136,6,1,25,1
6,137,8,1,33,1
6,138,6,1,25,0
6,139,6,1,25,0
6,140,7,1,29,1
6,141,7,1,29,0
6,142,8,1,33,0
6,143,7,1,29,3
6,144,11,1,45,0
6,145,7,1,29,2
6,146,7,1,29,0
6,147,7,1,29,1
6,148,6,1,25,0
6,149,6,1,25,1
6,150,6,1,25,2
6,151,7,1,29,0
6,152,8,1,33,1
6,153,8,1,33,1
6,154,6,1,25,1
6,155,10,1,41,1
6,156,9,1,37,1
6,157,11,1,45,0
6,158,6,1,25,1
6,159,7,1,29,0
6,160,7,1,29,1
6,161,8,1,33,1
6,162,6,1,25,1
6,163,7,1,29,1
6,164,9,1,37,2
6,165,9,1,37,0
6,166,8,1,33,0
6,167,6,1,25,0
6,168,6,1,25,0
6,169,6,1,25,2
6,170,7,1,29,2
6,171,6,1,25,1
6,172,7,1,29,3
6,173,7,1,29,0
6,174,8,1,33,1
6,175,7,1,29,0
6,176,6,1,25,0
6,177,7,1,29,0
6,178,7,1,29,0
6,179,7,1,29,3
6,180,6,1,25,1
6,181,6,1,25,1
6,182,7,1,29,2
6,183,7,1,29,1
6,184,6,1,25,0
6,185,6,1,25,0
6,186,9,1,37,0
6,187,7,1,29,1
6,188,7,1,29,1
6,189,6,1,25,0
6,190,7,1,29,1
6,191,7,1,29,0
6,192,6,1,25,1
6,193,6,1,25,1
6,194,7,1,29,1
6,195,11,1,45,1
6,196,6,1,25,0
6,197,6,1,25,2
6,198,8,1,33,1
6,199,7,1,29,0
8,0,10,1,41,1
8,1,9,1,37,1
8,2,11,1,45,0
8,3,9,1,37,1
8,4,9,1,37,2
8,5,9,1,37,0
8,6,8,1,33,2
8,7,8,1,33,1
8,8,8,1,33,0
8,9,9,1,37,1
8,10,9,1,37,1
8,11,9,1,37,0
8,12,11,1,45,1
8,13,8,1,33,1
8,14,9,1,37,1
8,15,9,1,37,3
8,16,9,1,37,1
8,17,10,1,41,1
8,18,12,1,49,2
8,19,8,1,33,2
8,20,8,1,33,2
8,21,10,1,41,0
8,22,8,1,33,3
8,23,8,1,33,1
8,24,9,1,37,1
8,25,9,1,37,2
8,26,10,1,41,1
8,27,12,1,49,2
8,28,8,1,33,1
8,29,9,1,37,0
8,30,11,1,45,2
8,31,10,1,41,0
8,32,12,1,49,0
8,33,10,1,41,0
8,34,9,1,37,2
8,35,9,1,37,2
8,36,10,1,41,0
8,37,8,1,33,1
8,38,8,1,33,0
8,39,8,1,33,0
8,40,8,1,33,2
8,41,8,1,33,3
8,42,8,1,33,0
8,43,8,1,33,6
8,44,8,1,33,0
8,45,10,1,41,3
8,46,10,1,41,1
8,47,10,1,41,1
8,48,12,1,49,2
8,49,8,1,33,3
8,50,9,1,37,1
8,51,9,1,37,1
8,52,11,1,45,1
8,53,8,1,33,1
8,54,9,1,37,1
8,55,9,1,37,2
8,56,9,1,37,1
8,57,12,1,49,2
8,58,8,1,33,2
8,59,11,1,45,1
8,60,11,1,45,1
8,61,10,1,41,1
8,62,9,1,37,3
8,63,10,1,41,0
8,64,9,1,37,2
8,65,9,1,37,1
8,66,9,1,37,2
8,67,8,1,33,0
8,68,8,1,33,2
8,69,10,1,41,2
8,70,10,1,41,4
8,71,9,1,37,1
8,72,8,1,33,3
8,73,10,1,41,1
8,74,9,1,37,1
8,75,10,1,41,1
8,76,10,1,41,0
8,77,8,1,33,0
8,78,8,1,33,2
8,79,14,1,57,2
8,80,8,1,33,1
8,81,10,1,41,2
8,82,8,1,33,2
8,83,12,1,49,0
8,84,8,1,33,1
8,85,8,1,33,1
8,86,8,1,33,1
8,87,8,1,33,1
8,88,10,1,41,4
8,89,11,1,45,0
8,90,9,1,37,0
8,91,8,1,33,1
8,92,8,1,33,0
8,93,12,1,49,2
8,94,10,1,41,1
8,95,8,1,33,1
8,96,9,1,37,0
8,97,8,1,33,0
8,98,8,1,33,0
8,99,9,1,37,2
8,100,10,1,41,3
8,101,9,1,37,0
8,102,8,1,33,1
8,103,9,1,37,2
8,104,8,1,33,2
8,105,8,1,33,2
8,106,8,1,33,1
8,107,8,1,33,1
8,108,8,1,33,2
8,109,14,1,57,1
8,110,12,1,49,0
8,111,8,1,33,0
8,112,13,1,53,1
8,113,8,1,33,1
8,114,8,1,33,0
8,115,11,1,45,2
8,116,10,1,41,0
8,117,10,1,41,2
8,118,10,1,41,1
8,119,8,1,33,3
8,120,9,1,37,2
8,121,12,1,49,1
8,122,10,1,41,1
8,123,9,1,37,0
8,124,10,1,41,1
8,125,9,1,37,0
8,126,8,1,33,1
8,127,10,1,41,0
8,128,13,1,53,3
8,129,9,1,37,5
8,130,9,1,37,1
8,131,8,1,33,3
8,132,13,1,53,3
8,133,11,1,45,2
8,134,8,1,33,1
8,135,10,1,41,0
8,136,9,1,37,2
8,137,12,1,49,1
8,138,9,1,37,2
8,139,8,1,33,0
8,140,8,1,33,0
8,141,9,1,37,2
8,142,8,1,33,1
8,143,9,1,37,1
8,144,8,1,33,3
8,145,9,1,37,3
8,146,8,1,33,0
8,147,12,1,49,2
8,148,8,1,33,1
8,149,9,1,37,2
8,150,8,1,33,1
8,151,9,1,37,2
8,152,9,1,37,0
8,153,8,1,33,0
8,154,9,1,37,0
8,155,9,1,37,3
8,156,11,1,45,2
8,157,9,1,37,0
8,158,9,1,37,1
8,159,8,1,33,0
8,160,10,1,41,2
8,161,16,1,65,1
8,162,9,1,37,1
8,163,10,1,41,1
8,164,10,1,41,1
8,165,8,1,33,1
8,166,13,1,53,1
8,167,8,1,33,1
8,168,9,1,37,2
8,169,10,1,41,4
8,170,8,1,33,3
8,171,8,1,33,2
8,172,8,1,33,0
8,173,8,1,33,0
8,174,10,1,41,0
8,175,9,1,37,1
8,176,8,1,33,1
8,177,9,1,37,0
8,178,8,1,33,0
8,179,8,1,33,1
8,180,9,1,37,0
8,181,8,1,33,0
8,182,9,1,37,0
8,183,12,1,49,2
8,184,9,1,37,2
8,185,9,1,37,0
8,186,10,1,41,1
8,187,8,1,33,2
8,188,11,1,45,0
8,189,8,1,33,2
8,190,13,1,53,1
8,191,9,1,37,1
8,192,12,1,49,0
8,193,11,1,45,0
8,194,15,1,61,2
8,195,8,1,33,0
8,196,10,1,41,2
8,197,9,1,37,0
8,198,9,1,37,1
8,199,9,1,37,3
12,0,14,1,57,1
12,1,13,1,53,1
12,2,12,1,49,4
12,3,0,0,-1,-1
12,4,15,1,61,0
12,5,15,1,61,2
12,6,15,1,61,2
12,7,12,1,49,0
12,8,13,1,53,0
12,9,16,1,65,0
12,10,14,1,57,0
12,11,13,1,53,2
12,12,15,1,61,0
12,13,15,1,61,3
12,14,13,1,53,1
12,15,14,1,57,4
12,16,13,1,53,4
12,17,15,1,61,1
12,18,14,1,57,3
12,19,17,1,69,4
12,20,15,1,61,3
12,21,14,1,57,0
12,22,13,1,53,1
12,23,12,1,49,1
12,24,12,1,49,1
12,25,12,1,49,3
12,26,12,1,49,3
12,27,12,1,49,2
12,28,15,1,61,1
12,29,14,1,57,2
12,30,14,1,57,2
12,31,16,1,65,2
12,32,17,1,69,1
12,33,12,1,49,2
12,34,15,1,61,1
12,35,13,1,53,2
12,36,12,1,49,3
12,37,12,1,49,1
12,38,16,1,65,3
12,39,16,1,65,1
12,40,13,1,53,1
12,41,12,1,49,1
12,42,12,1,49,2
12,43,12,1,49,2
12,44,13,1,53,2
12,45,12,1,49,1
12,46,14,1,57,4
12,47,14,1,57,0
12,48,16,1,65,2
12,49,13,1,53,0
12,50,17,1,69,0
12,51,14,1,57,2
12,52,13,1,53,1
12,53,15,1,61,0
12,54,15,1,61,0
12,55,14,1,57,1
12,56,19,1,77,1
12,57,12,1,49,3
12,58,15,1,61,2
12,59,13,1,53,1
12,60,13,1,53,1
12,61,12,1,49,2
12,62,15,1,61,1
12,63,12,1,49,0
12,64,13,1,53,3
12,65,13,1,53,1
12,66,14,1,57,3
12,67,14,1,57,0
12,68,13,1,53,0
12,69,12,1,49,6
12,70,13,1,53,3
12,71,14,1,57,0
12,72,13,1,53,1
12,73,13,1,53,1
12,74,14,1,57,2
12,75,14,1,57,2
12,76,14,1,57,0
12,77,13,1,53,2
12,78,12,1,49,0
12,79,12,1,49,1
12,80,16,1,65,4
12,81,12,1,49,1
12,82,15,1,61,0
12,83,12,1,49,2
12,84,12,1,49,1
12,85,14,1,57,1
12,86,13,1,53,1
12,87,12,1,49,1
12,88,15,1,61,3
12,89,12,1,49,2
12,90,12,1,49,1
12,91,14,1,57,1
12,92,15,1,61,3
12,93,18,1,73,2
12,94,12,1,49,1
12,95,14,1,57,0
12,96,13,1,53,1
12,97,14,1,57,3
12,98,15,1,61,4
12,99,12,1,49,0
12,100,12,1,49,1
12,101,13,1,53,2
12,102,12,1,49,0
12,103,14,1,57,3
12,104,12,1,49,2
12,105,13,1,53,1
12,106,13,1,53,4
12,107,13,1,53,1
