n,alpha,regime,g_minus,g_plus,g_e,g_sum,th_minus,th_plus,th_e,env_minus,env_plus,env_e
2,0.2,I,0.3137192944893844,0.7958758547682144,0.2041241452322417,1.000000000000456,0.3137192944891747,0.7958758547680684,0.20412414523193154,0.6862807055106153,0.20412414523178546,0.7958758547677585
3,0.2,I,0.3845831725607449,0.6533193628243414,0.3466806371752852,0.9999999999996266,0.38458317256045,0.6533193628246826,0.3466806371753174,0.6154168274392551,0.34668063717565867,0.6533193628247149
4,0.2,II,0.4121827265095766,0.5481989981948843,0.45180100180407845,0.9999999999989627,0.41218272650938054,0.5481989981950776,0.45180100180492244,0.587817273490423,0.4518010018051154,0.5481989981959214
5,0.2,III,0.41354717269402297,0.4703880794759737,0.5296119205241374,1.000000000000111,0.41354717269367025,0.4703880794755939,0.5296119205244061,0.5864528273059767,0.5296119205240261,0.47038807947677197
6,0.2,III,0.39406824091371295,0.4112040784999977,0.588795921498616,0.9999999999986138,0.39406824091359954,0.4112040784997595,0.5887959215002405,0.6059317590862869,0.5887959215000023,0.4112040785013841
7,0.2,III,0.3614370014769881,0.3649221505532174,0.6350778494402891,0.9999999999935065,0.3614370014771069,0.36492215055307986,0.6350778494469201,0.6385629985230118,0.6350778494467825,0.364922150559711
8,0.2,III,0.32730796462523404,0.3278385597157085,0.6721614402519953,0.9999999999677038,0.3273079646251525,0.3278385597158058,0.6721614402841942,0.6726920353747655,0.6721614402842911,0.3278385597480046
2,0.3,I,0.33297113276262646,0.6855145489835558,0.31448545101659287,1.0000000000001488,0.3329711327625197,0.6855145489834245,0.3144854510165755,0.6670288672373739,0.3144854510164441,0.6855145489834074
3,0.3,II,0.3796954985304867,0.5375475985273819,0.4624524014722807,0.9999999999996626,0.37969549853056994,0.5375475985271441,0.462452401472856,0.6203045014695132,0.46245240147261824,0.5375475985277192
4,0.3,III,0.38186041265903536,0.43920997600111283,0.5607900239979757,0.9999999999990885,0.38186041265909537,0.43920997600119926,0.5607900239988007,0.6181395873409649,0.5607900239988872,0.4392099760020246
5,0.3,III,0.35610097596529333,0.3704355109297516,0.6295644890684393,0.9999999999981909,0.3561009759655551,0.3704355109299543,0.6295644890700457,0.6438990240347066,0.6295644890702483,0.3704355109315606
6,0.3,III,0.3176165238739718,0.3199614705968772,0.6800385293970932,0.9999999999939704,0.3176165238740912,0.319961470596808,0.680038529403192,0.6823834761260282,0.6800385294031228,0.3199614706029069
7,0.3,III,0.28116131217663565,0.2814494892078365,0.7185505107598902,0.9999999999677267,0.28116131217656115,0.2814494892080255,0.7185505107919745,0.7188386878233649,0.7185505107921636,0.2814494892401097
8,0.3,III,0.2511109264394264,0.25114085169562594,0.7488591480854223,0.9999999997810483,0.25111092643937555,0.25114085169586087,0.7488591483041391,0.7488890735605738,0.7488591483043741,0.25114085191457747
2,0.4,II,0.3236110842707294,0.5635642195281202,0.4364357804715623,0.9999999999996825,0.32361108427057345,0.5635642195280153,0.4364357804719848,0.6763889157292708,0.43643578047188003,0.5635642195284374
3,0.4,III,0.34479362358523563,0.4246304173352349,0.5753695826640102,0.999999999999245,0.3447936235853968,0.4246304173352119,0.5753695826647881,0.6552063764147644,0.5753695826647651,0.42463041733598994
4,0.4,III,0.32116710072527566,0.3393671363972643,0.6606328636020322,0.9999999999992966,0.3211671007253687,0.3393671363972386,0.6606328636027614,0.6788328992747243,0.6606328636027357,0.3393671363979677
5,0.4,III,0.27968576343501683,0.2822583655711559,0.7177416344244416,0.9999999999955975,0.2796857634349689,0.28225836557134854,0.7177416344286515,0.7203142365649833,0.7177416344288441,0.2822583655755583
6,0.4,III,0.2412074589134487,0.24146879914873398,0.7585312008270555,0.9999999999757895,0.24120745891300122,0.24146879914878383,0.7585312008512162,0.7587925410865514,0.7585312008512661,0.24146879917294428
7,0.4,III,0.21089973648794358,0.21092170135170213,0.789078298455322,0.9999999998070241,0.21089973648797852,0.21092170135139265,0.7890782986486073,0.7891002635120563,0.7890782986482979,0.21092170154467788
8,0.4,III,0.18720514300274763,0.18720675224068364,0.8127932459124187,0.9999999981531024,0.1872051430032235,0.187206752240915,0.812793247759085,0.812794856997252,0.8127932477593162,0.18720675408758108
