n,alpha,gamma,x,z,y,se_x,se_z,se_y,p_success,se_p,exact_x,exact_z,exact_p,quality,exact_quality,yield_,R_joint
2,0.2,0.05,0.4256139191718974,-0.9054009459905401,0.006290696391126807,0.00949642172238683,0.004453019976221611,0.010505755949608191,0.9077666666666667,0.001670592166025324,0.40968578444437,-0.9066901408450703,0.9088,1.3310148651624374,1.3163759252894403,0.2875224409030433,0.28752244090304324
2,0.2,0.1819,0.4471498944405348,-0.8037000423668973,-0.015210176991150442,0.01061228685562161,0.007071729364199886,0.011758463530541441,0.7139333333333333,0.002609166718123425,0.44888323145994374,-0.7990589562058972,0.7142802112000004,1.2508499368074322,1.247942187665841,0.17710019817134703,0.17710019817134715
2,0.2,0.3137,0.45098706603131383,-0.552618025751073,0.0020408163265306124,0.011644453825639108,0.010920961339026309,0.013042095185297926,0.5860333333333333,0.0028436963360829954,0.45849948181865413,-0.5415530289893314,0.5866387648000002,1.0036050917823869,1.0000525108079856,3.0804875535339065e-05,3.080487553530631e-05
2,0.2,0.7959,0.12809121871760698,0.8820835718374356,-0.005392799883398921,0.012069559451635004,0.005635873518410096,0.012073456644690745,0.6867333333333333,0.002677876411277054,0.11624688573839555,0.8837668647565022,0.6881090752000006,1.0101747905550424,1.0000137504948978,9.461840327683988e-06,9.461840327684712e-06
2,0.2,0.8307,0.08241758241758242,0.9239774135793968,-0.0039547252147824905,0.011681109658822771,0.004488518244631165,0.011678454570957288,0.7291333333333333,0.002565787179766056,0.09089583753124875,0.9246112444142491,0.7299759808000003,1.0063949959969791,1.0155070819454979,0.011319797352510791,0.011319797352510763
2,0.2,0.8655,0.06594399277326106,0.9503536977491961,-0.017159076248226036,0.011335974129982041,0.0035292130330538017,0.01135756428966379,0.7758333333333334,0.002407737334942097,0.06788599543925745,0.9552690526825938,0.7764932800000006,1.0162976905224572,1.0231550481218512,0.017979739264694098,0.017979739264694095
2,0.2,0.9004,0.0409020031186278,0.9733044733044733,0.01470942850253195,0.010943533233952389,0.002517011329082136,0.010979869507058492,0.8315666666666667,0.0021607371084543933,0.047154354955863204,0.9769915815286447,0.8278147072000003,1.0142064764231011,1.024145936484508,0.019988361340992813,0.0199883613409928
2,0.2,0.9352,0.055900621118012424,0.987732848705134,-0.0003401746229731262,0.010610860863203253,0.0016643149613132346,0.010649149588943961,0.8826,0.0018584692625922008,0.028740361125028948,0.9908762611165584,0.8836461568000005,1.0436334698231464,1.0196166222415872,0.01733415285317596,0.017334152853176077
2,0.2,0.97,0.012953918029305586,0.9985183617314002,0.006678681225484999,0.010304033774801455,0.000559828781626657,0.010296471409968495,0.9433333333333334,0.0013348602368232604,0.012453344001405795,0.9981697396963124,0.9441280000000004,1.0114722797607059,1.0106230836977181,0.010029550765359236,0.010029550765359163
4,0.2,0.05,0.41358847038876106,-0.8993085041853695,-0.004847309743092583,0.010020234960709029,0.004817013323863175,0.011008841124738732,0.8250666666666666,0.002193411818926717,0.43033525748832174,-0.9026537475119594,0.8219320000000006,1.3128969745741306,1.332989005000281,0.2736943188578912,0.2736943188578913
4,0.2,0.2311,0.6073107049608355,-0.7755155311929001,0.02660811159907001,0.012839016783076394,0.010201311297456933,0.016069069333657895,0.3844,0.002808538409920719,0.6125172407407865,-0.7740410305885292,0.37828316342653,1.3828262361537356,1.3865582713293159,0.14622848572714453,0.14622848572714453
4,0.2,0.4122,0.7312466270912035,-0.25452609158679446,0.009944751381215469,0.015850243581120523,0.02232152882939682,0.02351035787775376,0.1847,0.0022404308365431263,0.7427301288657343,-0.2571752595258726,0.18231555753116008,0.9857727186779979,0.9999053883916069,0.0,0.0
4,0.2,0.5482,0.43805572021339656,0.5214579659024103,0.013813813813813814,0.021893021280216033,0.020695006356989495,0.024512177832826755,0.16843333333333332,0.0021607371084543933,0.4798981649328799,0.5201039632775891,0.16670129429266764,0.9595136861158069,1.000002128210469,3.547754397037905e-07,3.54775439692645e-07
4,0.2,0.6326,0.24502084298286245,0.8139971817754814,0.0009372071227741331,0.020870366317443177,0.012591928657762009,0.021652317239480492,0.21406666666666666,0.0023681366014153328,0.25044614902169504,0.8343855285326072,0.21123192342249833,1.0590180247583438,1.0848316775543023,0.01791915841695246,0.017919158416952463
4,0.2,0.7169,0.1277591973244147,0.9593358183666554,-0.04752409438351612,0.018141092203325264,0.005196960898049695,0.018212522182453256,0.29833333333333334,0.002641530841233012,0.10479230169461326,0.9588552205175138,0.2997408724869227,1.0870950156910701,1.063647522212127,0.01907776383949377,0.019077763839493667
4,0.2,0.8013,0.039461883408071746,0.990358126721763,-0.015704387990762125,0.014963832900668885,0.0020991923894635497,0.015196817427374717,0.4382,0.002864616088297581,0.035386458340080564,0.9931555516041792,0.4372745924593716,1.0298200101298347,1.0285420099442597,0.012480695766347494,0.012480695766347472
4,0.2,0.8856,0.017505125374546602,1.0,0.013772360297609625,0.012557084610266988,0.0,0.01258165427903105,0.6339,0.002781311381345138,0.008132941919018753,0.9994785588023781,0.6306668243656388,1.0175051253745466,1.0076115007213968,0.0048003209886201045,0.004800320988620044
4,0.2,0.97,-0.012445341405987218,1.0,-0.010625209708086343,0.01058845585247947,0.0,0.010575641596662496,0.8931333333333333,0.0017836870261924895,0.00039637454452199326,0.9999982523523141,0.8898818752000007,1.0124453414059873,1.000394626896836,0.0003511713229607799,0.0003511713229606972
6,0.2,0.05,0.4403694648193426,-0.8909090909090909,0.009742426264513547,0.01046451839076971,0.005271213705580012,0.011552620421008191,0.7426666666666667,0.0025239710041182386,0.45061862236312455,-0.8927165177328865,0.7456882300000005,1.3312785557284335,1.343335140096011,0.2560209729149966,0.2560209729149967
6,0.2,0.222,0.7354368932038835,-0.6720536066219945,-0.022086824067022087,0.013631155782926013,0.014704555585900999,0.019513240166396734,0.2545,0.0025148210671934496,0.7294757512068524,-0.6828882250623456,0.2530017579950893,1.4074904998258781,1.412363976269198,0.10432881092995236,0.10432881092995228
6,0.2,0.3941,0.9637599093997735,-0.02466367713004484,-0.034103410341034104,0.008982651270520201,0.03349106960100792,0.03316686150340133,0.08946666666666667,0.0016478509461540327,0.9569831388877141,-0.04282819414935263,0.09109492431267072,0.9884235865298183,0.9998113330370668,0.0,0.0
6,0.2,0.4112,0.9387060158910329,0.02965599051008304,-0.026378896882494004,0.011620466649309266,0.03444711810351641,0.03463588951501194,0.08526666666666667,0.00161241291467397,0.945172083270662,0.05480827540366395,0.08464243059122278,0.9683620064011159,0.999980358674326,0.0,0.0
