a,T2_over_T1,kt_plus,q_plus,q_plus_theory,kt_plus_theory,max_margin_after_death
0.5,2.0,0.5527426922025549,0.5753695826639955,0.5753695826647881,0.5527426922011773,0.03999085148213525
0.75,1.3333333333333333,1.1054853844011556,0.3310501566562494,0.3310501566558524,1.1054853844023547,0.003213012292049594
1.0,1.0,nan,nan,nan,nan,-1.44812306104564e-07
1.25,0.8,nan,nan,nan,nan,-2.543205364878475e-07
